FID,Latitude,Longitude,Depth_m
0,70.20151539,-153.3027565,2.6
1,70.20151234,-153.3028014,2.1
2,70.2015093,-153.3028374,2.2
3,70.20151234,-153.3028643,2.1
4,70.20150625,-153.3029182,2
5,70.20150321,-153.3029991,2
6,70.20150016,-153.3030619,2
7,70.20149712,-153.3031518,2.1
8,70.20149712,-153.3032236,2
9,70.20149407,-153.3032685,2
10,70.20148798,-153.3033224,1.9
11,70.20148189,-153.3033674,1.9
12,70.20148189,-153.3034302,1.9
13,70.20147885,-153.3034841,1.9
14,70.2014758,-153.303538,1.9
15,70.20147276,-153.3036009,1.8
16,70.20146362,-153.3036638,1.8
17,70.20145753,-153.3037446,1.9
18,70.20145144,-153.3037806,1.8
19,70.20144535,-153.3038345,1.8
20,70.20144231,-153.3038884,1.9
21,70.20143926,-153.3039333,1.8
22,70.20144231,-153.3039782,1.8
23,70.20144231,-153.3040231,1.8
24,70.20144535,-153.304086,1.8
25,70.20144231,-153.3041309,1.7
26,70.20143013,-153.3041848,1.8
27,70.20142708,-153.3042297,1.7
28,70.20143013,-153.3042656,1.7
29,70.20143317,-153.3043105,1.7
30,70.20143926,-153.3043644,1.7
31,70.20143317,-153.3044363,1.6
32,70.20142404,-153.3044902,1.6
33,70.20141795,-153.3045441,1.6
34,70.2014149,-153.304598,1.6
35,70.20141186,-153.3046609,1.6
36,70.20140881,-153.3047058,1.6
37,70.20140881,-153.3047507,1.6
38,70.20139663,-153.3048405,1.6
39,70.20139359,-153.3048854,1.6
40,70.20139359,-153.3049214,1.6
41,70.20139054,-153.3049753,1.6
42,70.20138445,-153.3050112,1.6
43,70.20137836,-153.3050651,1.5
44,70.20137532,-153.305128,1.5
45,70.20137227,-153.3051909,1.4
46,70.20136618,-153.3052448,1.3
47,70.20136314,-153.3052897,1.2
48,70.20135705,-153.3053526,1.2
49,70.20135096,-153.3054154,1.2
50,70.20134487,-153.3054873,1.1
51,70.20134487,-153.3055322,1.1
52,70.20134182,-153.3055771,1
53,70.20133878,-153.305631,1
54,70.20133269,-153.3056849,1
55,70.20132051,-153.3058017,0.9
56,70.20131442,-153.3058646,0.8
57,70.20130833,-153.3059275,0.8
58,70.20130528,-153.3059813,0.8
59,70.20129919,-153.3060442,0.8
60,70.2012931,-153.3060981,0.8
61,70.20128701,-153.3061341,0.7
62,70.20128397,-153.306188,0.7
63,70.20127483,-153.3062329,0.8
64,70.20126874,-153.3062778,0.7
65,70.20126265,-153.3063407,0.8
66,70.20125352,-153.3064035,0.9
67,70.20124438,-153.3064664,0.8
68,70.20123525,-153.3065293,0.7
69,70.2012322,-153.3065832,0.7
70,70.20122307,-153.3066551,0.7
71,70.20121393,-153.306709,0.8
72,70.2012048,-153.3067629,0.8
73,70.20120175,-153.3067898,0.8
74,70.20119566,-153.3068347,0.7
75,70.20119566,-153.3069156,0.7
76,70.20119262,-153.3069695,0.8
77,70.20119262,-153.3069964,0.7
78,70.20118957,-153.3070413,0.7
79,70.20118348,-153.3070952,0.7
80,70.20118044,-153.3071311,0.7
81,70.20117739,-153.307194,0.7
82,70.20117435,-153.3072569,0.7
83,70.20117435,-153.3073108,0.7
84,70.2011713,-153.3073647,0.6
85,70.20116826,-153.3074186,0.6
86,70.20116217,-153.3074725,0.7
87,70.20115912,-153.3074994,0.7
88,70.20115608,-153.3075533,0.6
89,70.20114999,-153.3076072,0.6
90,70.20114694,-153.3076791,0.6
91,70.20114694,-153.307733,0.7
92,70.20115608,-153.3077779,0.7
93,70.20115912,-153.3078138,0.6
94,70.20115303,-153.3078677,0.7
95,70.2011439,-153.3080923,0.6
96,70.20114085,-153.3081462,0.6
97,70.20113781,-153.3081821,0.6
98,70.20113172,-153.3082181,0.6
99,70.20112563,-153.308263,0.6
100,70.20111954,-153.3083169,0.6
101,70.20111345,-153.3083798,0.6
102,70.20110736,-153.3084247,0.6
